qTimestamp,Data,Type,Camera,Time (seconds)
2025-05-07 11:38:52,2240100101,CODE39,Cam2,0.07
2025-05-07 11:39:06,2240086101,CODE39,Cam1,0.05
2025-05-07 11:39:06,2240078101,CODE39,Cam1,0.05
2025-05-07 11:58:19,2240100101,CODE39,Cam1,0.05
2025-05-07 11:58:19,2240083101,CODE39,Cam1,0.05
2025-05-07 11:58:19,2240068101,CODE39,Cam1,0.05
2025-05-07 11:58:22,2240086101,CODE39,Cam2,0.06
2025-05-07 11:58:22,2240078101,CODE39,Cam2,0.06
2025-05-07 12:06:15,2240111101,CODE39,Cam2,0.07
2025-05-07 12:06:15,2240100101,CODE39,Cam2,0.06
2025-05-07 12:06:34,2240086101,CODE39,Cam1,0.05
2025-05-07 12:06:34,2240108101,CODE39,Cam1,0.05
2025-05-07 12:06:35,2240113101,CODE39,Cam1,0.06
2025-05-07 12:06:43,2240078101,CODE39,Cam1,0.05
2025-05-07 13:57:14,2240113101,CODE39,Cam1,0.06
2025-05-07 13:57:18,2240111101,CODE39,Cam2,0.07
2025-05-07 13:57:21,2240100101,CODE39,Cam2,`
2025-05-07 13:57:21,2240108101,CODE39,Cam1,0.05
2025-05-07 13:58:05,2240086101,CODE39,Cam1,0.05
2025-05-07 13:58:32,2240083101,CODE39,Cam2,0.06
2025-05-07 13:58:44,2240068101,CODE39,Cam2,0.07
2025-05-07 14:06:15,2240113101,CODE39,Cam1,0.06
2025-05-07 14:06:15,2240108101,CODE39,Cam1,0.06
2025-05-07 14:06:15,2240086101,CODE39,Cam1,0.05
2025-05-07 14:06:16,2240078101,CODE39,Cam1,0.06
2025-05-07 14:06:19,224.086101,CODE39,Cam1,0.06
2025-05-07 14:06:19,2244086101,CODE39,Cam1,0.05
2025-05-07 14:06:37,2240068101,CODE39,Cam2,0.07
2025-05-07 14:06:37,2240100101,CODE39,Cam2,0.06
2025-05-07 14:06:37,2240083101,CODE39,Cam2,0.06
2025-05-07 14:06:58,2240111101,CODE39,Cam2,0.07
2025-05-07 14:12:48,2240108101,CODE39,Cam2,0.06
2025-05-07 14:12:48,2240113101,CODE39,Cam2,0.07
2025-05-07 14:12:49,2240086101,CODE39,Cam2,0.07
2025-05-07 14:13:52,2240113101,CODE39,Cam2,0.07
2025-05-07 14:13:53,2240108101,CODE39,Cam2,0.06
2025-05-07 14:13:58,2240086101,CODE39,Cam2,0.07
2025-05-07 14:14:05,2240111101,CODE39,Cam2,0.06
2025-05-07 14:14:16,2240100101,CODE39,Cam2,0.06
2025-05-07 14:14:16,2240083101,CODE39,Cam2,0.06
2025-05-07 14:14:17,2240068101,CODE39,Cam2,0.06
2025-05-07 14:15:23,111101,CODE39,Cam2,0.06
2025-05-07 14:19:11,2240100101,CODE39,Cam2,0.07
2025-05-07 14:19:11,2240111101,CODE39,Cam2,0.07
2025-05-07 14:19:12,2240083101,CODE39,Cam2,0.07
2025-05-07 15:18:20,2240083101,CODE39,Cam1,0.05
2025-05-07 15:18:20,2240100101,CODE39,Cam1,0.05
2025-05-07 15:18:21,2240111101,CODE39,Cam1,0.05
2025-05-07 15:18:31,2240068101,CODE39,Cam1,0.06
2025-05-07 15:18:32,2240113101,CODE39,Cam2,0.06
2025-05-07 15:18:32,2240108101,CODE39,Cam2,0.06
2025-05-07 15:18:32,2240086101,CODE39,Cam2,0.07
2025-05-07 15:20:37,2240078101,CODE39,Cam2,0.07
