Timestamp,Data,Type,Camera,Time (seconds)
2025-05-08 10:49:44,2240111101,CODE39,Cam2,36.16
2025-05-08 10:49:57,2240111101,CODE39,Cam2,48.67
2025-05-08 10:51:51,2240111101,CODE39,Cam2,163.32
2025-05-08 10:57:21,2240068101,CODE39,Cam2,493.04
